Name,Model,Key,IV
Note2,Note2,47363CF9416ADE0231B61D62DD8F4539,462B820F6C4B3BC72EE48FDFF0FA3E39
Note3,Note3,098C863EB6E1F8DC96720031B32EA200,EFC95EF6B02442EE518F2D2BD5594250
Note5Plus,Note5Plus,9377320B7032EDC0194DBA82AD9DDCB0,9B7422F02E481B143030F24F5F3736B0
NoteAir,NoteAir,AED5E8AE8AB08319EC791849310171C2,F62715B99809212131696C2FD7C6F75D
NoteAir2,NoteAir2,856C9D4ADCE8015F272357F5DDF08B71,879D69054D57C76152CF272A0C121006
NoteAir2P,NoteAir2P,1276ECC6636DA6AFCEF5D7F300E5C915,1F6CF46EC279E61EDB7FC150C3471972
NoteAir3,NoteAir3,54F4360CD7465F72D31957D9DAF017C7,40FE355773181D3B8D0B3E41B96D6998
NoteAir3C,NoteAir3C,4DEAED7F843CDCEDB384E6FC468C540E,964E8856F922178810AEC06E0D363512
NoteAir4C,NoteAir4C,CF26B9FD1C5F74A8170C24D389F9A92D,3BC02F669B2C772CC3F9A583F1FC3263
NoteMax,NoteMax,D999393AEAA81119AC0F8C8C1EA11089,CD7894A509490BAF2BAA129686A083E4
NotePro,NotePro,F72D46836B5B1A0D1CB5BB27C6895A4F,2652833CDDC4C4CDD3BEC6F8D6AD3914
NoteS,NoteS,0B82F60DB060E404F752E9B91F0BE28B,363A003F2C54F1DA3412F7A9CC7DFDBE
NoteX,NoteX,8CC1464D7009076D571D4FF249F47B3D,2E3D8332638FED444BA24D5462C12046
NoteX2,NoteX2,00D996A8B45734B9E7943C0FF3333646,AE9ACFDF9C871C2B9458B2F2245035E0
NoteX3,NoteX3,40B1F5E5773AA90DC41ED62AA34EEF6D,C41B0F1CD0E88A0CC6CA22E1429AC4A3
NoteX3S,NoteX3S,37BD0706BCBCA53265083A292966FD4D,6EB0274D85707BA9729580E49D0890AA
NoteX3Pro,NoteX3Pro,7002375BDC1F2FE5FD29C3A0D3470883,C5334CAA3B27498621CFB7744F578797
Note_YDT,Note_YDT,A5BEEB144025D73FD90971E4906232BA,18870C4F426A494320868606DA2091BB
Nova,Nova,F03A6BBC306066AB1B3A5BE5AEC1D3F3,558CD7D43E17869A50FFFF6C72C26282
Nova2,Nova2,0AC6B91ABB5988ADE6313FD62F6EDB0B,3B9D6F6DE8D1795D3D265C0EFC9B59C7
Nova3,Nova3,6D89ABF9B380998958D8002897BBF650,7F1224824C0B41DAAE907ADE10828C58
Nova3Color,Nova3Color,796FD580A4BE82B6FEAC8CFDA676585B,AFB0DFEBD0A2D71F37F21231808BD1A9
Nova5,Nova5,96359CD7CCB6F86C38D808E2C4109B70,0F24CA95466CE4F0CE6477CE20EDCB5D
NovaAir,NovaAir,20A25EB3B9363810BCFFA9A2E1B55B0A,1B5380830BF637ECB7181C3926D5B479
NovaAir2,NovaAir2,88520228DF831062B6CB7AAED5166156,C0A91A092BC76A46F7AE6FDC4EED5C20
NovaAirC,NovaAirC,3E37242727DD67DF9D4EC08D936974E2,4DB17A985684B7319A349743B22BF41B
NovaPlus,NovaPlus,18C0438BE7CE881BC86BC6C84CEC096D,592328C13A578E053FA565A5B684294D
NovaPro,NovaPro,619A3C6290FEDA02418091AE2F39592F,C5DCEF361A60239DB4E8648DD9F7847A
PadMu3,PadMuAP3,A8BAA1F101DB9FC7CA0CD9FB04A97694,16ED3B30C6F251BA4267679433765E5F
Page,Page,25CC82D3A7B62D4F03321946F135037D,8D2BC33F82F6A14E04085574947687D0
Palma,Palma,0E729B7296ACCB86AE5A6C15374C4D02,BF694808B49ACAF49E73334E3A4B1163
Palma2,Palma2,EBF46CA428B21CD4012B17F6E37F132D,CE5D3FD02F712FE0E30F7DC31B0789E9
Poke2,Poke2,C5E45730FBD665FC3857C6D78FD63E43,528DB4C57394F09D3C00E2D45E5C9641
Poke2Color,Poke2Color,D314CF54B76931B6309F83B2F037D419,C397190FD2E48874C1CFBE52A782AB59
Poke3,Poke3,3DC53116D8AE3DCCEAD99F53E08E1E35,42B996AB6E252DCA4EDBC668BA3E5A3A
Poke4,Poke4,E155E2D73EFC3EB70745B434BE203EFD,C3AC2D3955E32709F10511C3B662B27F
Poke4Lite,Poke4Lite,6C74952C3EA2E07244D6B3D91C222335,EB037125447814B0F4198E201A966B3D
Poke4S,Poke4S,CFD60D360BD91B04843F8B3090B2DA08,3595F7FCE8B4F2AD5804DEE46299281C
Poke5,Poke5,59B93DC6771B6740C266DD2AC851943C,4CF0CCAE9C4201B24D623221B9BA6673
Poke5P,Poke5P,550504B1DE28C363172040829BFFA408,26C4D62584DA0619AB972B66ACC3689A
Poke5S,Poke5S,AE0FB835F4A50D35C95FEC7700EEDF1D,321FFD1D14E8A2A7A422C683D152AF3B
Poke6,Poke6,DFA1B679E1089011FEB9C8455AD7E1D5,83BF5F0F69A76D42D742E044EA1BDACF
Poke_Pro,Poke_Pro,AA151AD6C888DFB010433F3B1EC676EC,FD83B38456D9C052F22414DF9A2C0FEC
SP_NoteSL,SP_NoteS,3992B2A532F9ABDCB953EDAD7EC95FFF,12C928CF2C665AF83B50361C80B88297
SP_PokeL,SP_PokeL,6E01CB5A77A96F675561AE7CB7CAF6AC,DEAEF764C4290B4039EA7DDC2110A7B2
T10C,T10C,21B04F8458DCD400D6DD2FEDDF13BC16,C78066550FE7CE6CCAFB692FFFB0E3F5
Tab10,Tab10,C301F33490ABF2C9396E335D3258BD37,2B2B6159E3CA418F71D58966310B764F
Tab10C,Tab10C,3E3F7FB56DD7DF682D9F49070543B4F0,37E49117577D5BF42771F8E0DAAFBA73
Tab10CPro,Tab10CPro,D999393AEAA81119AC0F8C8C1EA11089,CD7894A509490BAF2BAA129686A083E4
Tab13,Tab13,1072DE10B43097036B98B9021F308FB0,F180C655AABF3EB02D9E45B9FD5379B2
Tab8,Tab8,ECC953580D49BAD70D9DBA526EC091D2,46085FF59CCE685B38FB651876E8964B
Tab8C,Tab8C,D7731639E43C1C421F25178D79A07031,A419E9D70B549920F91DD28733A51A46
TabMiniC,TabMiniC,3B0B382BDA19D0E9F0755C8B01B086DC,A602693F5AF19546BF7F40A523237E54
TabUltra,TabUltra,A01FF8E0F4D139FC75FAA49D61E12E9C,EC94D4BA3550734EA8C69DD726444DE3
TabUltraC,TabUltraC,2DB550268389D895AACB781AB3515DCB,13FDC3C394EAB6323BF42428CD275AA2
TabUltraCPro,TabUltraCPro,A41D77766544408A879E2796FA58FBEF,CE33186077354F08421AB9F0C2648A06
TabX,TabX,28E3BE85609F0D5CAA3796643512AAA2,8952832CBE65133CF531C978B7AC0696
Viking,Viking,F702F339BD6D31CB7F4252D6071A8C97,F51563B4B58AB1E673590E904F632361
